<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
LKOH,D,20171019,0,2985.0000000,417461
LKOH,D,20171020,0,2994.0000000,424104
LKOH,D,20171023,0,2997.0000000,394534
LKOH,D,20171024,0,3018.0000000,338596
LKOH,D,20171025,0,3005.0000000,620960
LKOH,D,20171026,0,2996.0000000,523676
LKOH,D,20171027,0,3064.5000000,723348
LKOH,D,20171030,0,3058.0000000,817915
LKOH,D,20171031,0,3096.0000000,1026669
LKOH,D,20171101,0,3144.5000000,732038
LKOH,D,20171102,0,3150.0000000,385856
LKOH,D,20171103,0,3168.5000000,633098
LKOH,D,20171107,0,3325.0000000,1600374
LKOH,D,20171108,0,3336.0000000,606169
LKOH,D,20171109,0,3368.0000000,872481
LKOH,D,20171110,0,3344.5000000,569120
LKOH,D,20171113,0,3326.0000000,878540
LKOH,D,20171114,0,3325.0000000,878065
LKOH,D,20171115,0,3296.0000000,604137
LKOH,D,20171116,0,3304.0000000,580867
LKOH,D,20171117,0,3304.5000000,330965
LKOH,D,20171120,0,3281.0000000,223953
LKOH,D,20171121,0,3319.5000000,360973
LKOH,D,20171122,0,3369.0000000,469096
LKOH,D,20171123,0,3380.0000000,340529
LKOH,D,20171124,0,3395.0000000,355334
LKOH,D,20171127,0,3365.0000000,396137
LKOH,D,20171128,0,3343.0000000,495366
LKOH,D,20171129,0,3308.5000000,681812
LKOH,D,20171130,0,3292.5000000,783608
LKOH,D,20171201,0,3344.0000000,398449
LKOH,D,20171204,0,3390.5000000,610907
LKOH,D,20171205,0,3403.0000000,413104
LKOH,D,20171206,0,3403.0000000,442477
LKOH,D,20171207,0,3374.5000000,421300
LKOH,D,20171208,0,3388.5000000,377288
LKOH,D,20171211,0,3432.5000000,603665
LKOH,D,20171212,0,3473.5000000,509396
LKOH,D,20171213,0,3458.0000000,326376
LKOH,D,20171214,0,3453.5000000,364558
LKOH,D,20171215,0,3420.0000000,758534
LKOH,D,20171218,0,3395.5000000,404388
LKOH,D,20171219,0,3402.0000000,423882
LKOH,D,20171220,0,3373.0000000,535425
LKOH,D,20171221,0,3332.5000000,709193
LKOH,D,20171222,0,3347.0000000,210510
LKOH,D,20171225,0,3320.0000000,96613
LKOH,D,20171226,0,3288.0000000,148779
LKOH,D,20171227,0,3283.5000000,651347
LKOH,D,20171228,0,3317.0000000,229632
LKOH,D,20171229,0,3334.5000000,286251
LKOH,D,20180103,0,3421.5000000,395453
LKOH,D,20180104,0,3501.0000000,701627
LKOH,D,20180105,0,3569.5000000,597301
LKOH,D,20180109,0,3628.5000000,847898
LKOH,D,20180110,0,3641.0000000,1024191
LKOH,D,20180111,0,3687.5000000,664947
LKOH,D,20180112,0,3908.0000000,2678386
LKOH,D,20180115,0,3876.5000000,926976
LKOH,D,20180116,0,3862.0000000,1157950
LKOH,D,20180117,0,3851.5000000,807544
LKOH,D,20180118,0,3855.0000000,979427
