<ÒÈÊÅÐ>;<ÏÅÐÈÎÄ>;<ÄÀÒÀ>;<ÂÐÅÌß>;<ÖÅÍÀ_CLOSE>;<ÎÁÚÅÌ>
SBERP;D;20171019;0;159.01;2925500
SBERP;D;20171020;0;160.87;2301800
SBERP;D;20171023;0;159.89;2089900
SBERP;D;20171024;0;160;1927500
SBERP;D;20171025;0;158.79;2205200
SBERP;D;20171026;0;159.21;2315500
SBERP;D;20171027;0;160;4506600
SBERP;D;20171030;0;160.41;4213900
SBERP;D;20171031;0;158.52;3171300
SBERP;D;20171101;0;159.7;3504900
SBERP;D;20171102;0;159.7;3702100
SBERP;D;20171103;0;160.5;1943600
SBERP;D;20171107;0;171.4;9883900
SBERP;D;20171108;0;178.45;8051100
SBERP;D;20171109;0;191.06;12079200
SBERP;D;20171110;0;190.1;18700800
SBERP;D;20171113;0;188.19;5713600
SBERP;D;20171114;0;189.65;4298000
SBERP;D;20171115;0;190;6567400
SBERP;D;20171116;0;185.6;11106100
SBERP;D;20171117;0;186.04;3006600
SBERP;D;20171120;0;185.6;2118600
SBERP;D;20171121;0;192.1;6871200
SBERP;D;20171122;0;192.3;6421600
SBERP;D;20171123;0;188.7;3818000
SBERP;D;20171124;0;192.3;3653500
SBERP;D;20171127;0;190.86;1872900
SBERP;D;20171128;0;192.5;3567500
SBERP;D;20171129;0;189.63;3882400
SBERP;D;20171130;0;184.53;3138300
SBERP;D;20171201;0;184.55;3044000
SBERP;D;20171204;0;184.2;2485600
SBERP;D;20171205;0;185.2;2657800
SBERP;D;20171206;0;185.4;1290400
SBERP;D;20171207;0;181.91;3076600
SBERP;D;20171208;0;185;3031500
SBERP;D;20171211;0;192.05;3411300
SBERP;D;20171212;0;195.96;4284700
SBERP;D;20171213;0;188.84;9602200
SBERP;D;20171214;0;193.23;5305400
SBERP;D;20171215;0;190;2919300
SBERP;D;20171218;0;191.29;2549800
SBERP;D;20171219;0;190.67;2706400
SBERP;D;20171220;0;191.25;2896900
SBERP;D;20171221;0;189.5;3255600
SBERP;D;20171222;0;189.2;1275700
SBERP;D;20171225;0;189.82;371400
SBERP;D;20171226;0;190;1414200
SBERP;D;20171227;0;190.73;1785900
SBERP;D;20171228;0;190.3;1194300
SBERP;D;20171229;0;189;1571800
SBERP;D;20180103;0;197.3;3231300
SBERP;D;20180104;0;203.03;4334900
SBERP;D;20180105;0;203.5;4082400
SBERP;D;20180109;0;201.3;3860100
SBERP;D;20180110;0;197.52;4842300
SBERP;D;20180111;0;199.78;3314900
SBERP;D;20180112;0;199.49;2496000
SBERP;D;20180115;0;201.9;3256400
SBERP;D;20180116;0;200.82;2275500
SBERP;D;20180117;0;201.34;1424300
SBERP;D;20180118;0;204.63;3563600
SBERP;D;20180119;0;203.97;2454900
SBERP;D;20180122;0;202.5;1493800
SBERP;D;20180123;0;202.71;1877900
SBERP;D;20180124;0;204.2;2590900
SBERP;D;20180125;0;209;5623600
SBERP;D;20180126;0;208;3741900
SBERP;D;20180129;0;209.9;1790700
SBERP;D;20180130;0;213.35;4094700
SBERP;D;20180131;0;217.49;5236700
SBERP;D;20180201;0;213.77;7707600
SBERP;D;20180202;0;208.8;4126600
SBERP;D;20180205;0;209.75;2905300
SBERP;D;20180206;0;210.6;5079700
SBERP;D;20180207;0;210.22;3683000
SBERP;D;20180208;0;206.6;2517900
SBERP;D;20180209;0;203.18;6398300
SBERP;D;20180212;0;207.69;3305800
SBERP;D;20180213;0;209.5;2472000
SBERP;D;20180214;0;211.64;3522900
SBERP;D;20180215;0;214.6;3734900
SBERP;D;20180216;0;214.02;3678300
SBERP;D;20180219;0;211.04;2442000
SBERP;D;20180220;0;215.9;5318600
SBERP;D;20180221;0;224;6307500
SBERP;D;20180222;0;228.5;7265200
SBERP;D;20180226;0;232.03;4061700
SBERP;D;20180227;0;231.18;2721900
SBERP;D;20180228;0;227;3673400
SBERP;D;20180301;0;226.15;3897800
SBERP;D;20180302;0;224.5;2049700
SBERP;D;20180305;0;229.29;2428000
SBERP;D;20180306;0;224.75;3136200
SBERP;D;20180307;0;224.67;2177700
SBERP;D;20180309;0;225.3;1854800
SBERP;D;20180312;0;226.64;1903000
SBERP;D;20180313;0;225.5;2267700
SBERP;D;20180314;0;216.99;3209200
SBERP;D;20180315;0;210.5;5956600
SBERP;D;20180316;0;211.52;8358700
SBERP;D;20180319;0;209.19;3744800
SBERP;D;20180320;0;206.3;6347600
SBERP;D;20180321;0;222;12354800
SBERP;D;20180322;0;219.47;9409200
SBERP;D;20180323;0;220.5;6779900
SBERP;D;20180326;0;215.46;6240000
SBERP;D;20180327;0;217.2;6125400
SBERP;D;20180328;0;213;4703000
SBERP;D;20180329;0;213.61;3254700
SBERP;D;20180330;0;214.14;700900
SBERP;D;20180402;0;212.59;2507100
SBERP;D;20180403;0;212.12;3517600
SBERP;D;20180404;0;213.85;4186400
SBERP;D;20180405;0;220.3;6099400
SBERP;D;20180406;0;217;5418300
SBERP;D;20180409;0;187.83;23057000
SBERP;D;20180410;0;188.17;30182100
SBERP;D;20180411;0;181.7;18984200
SBERP;D;20180412;0;185.99;13872600
SBERP;D;20180413;0;180.67;9010200
SBERP;D;20180416;0;172.59;20374600
SBERP;D;20180417;0;181.79;17092800
SBERP;D;20180418;0;190.5;22761000
SBERP;D;20180419;0;189.69;14129100
SBERP;D;20180420;0;190;5796300
SBERP;D;20180423;0;196.7;10674100
SBERP;D;20180424;0;197.51;10402100
SBERP;D;20180425;0;194.19;5666700
SBERP;D;20180426;0;193.91;5421800
SBERP;D;20180427;0;194.91;6029100
SBERP;D;20180428;0;195;73730
SBERP;D;20180430;0;196.22;1969700
SBERP;D;20180502;0;196.1;3335600
SBERP;D;20180503;0;196.24;6329600
SBERP;D;20180504;0;195.7;3780100
SBERP;D;20180507;0;196.71;4099800
SBERP;D;20180508;0;193.25;4479400
SBERP;D;20180510;0;198.94;6329400
SBERP;D;20180511;0;202.1;6480000
SBERP;D;20180514;0;203;3022900
SBERP;D;20180515;0;199.4;4354800
SBERP;D;20180516;0;201;5790300
SBERP;D;20180517;0;197.62;3413300
SBERP;D;20180518;0;195.49;4176300
SBERP;D;20180521;0;198.68;2870200
SBERP;D;20180522;0;198.27;2167700
SBERP;D;20180523;0;195.29;2979000
SBERP;D;20180524;0;196.7;3874700
SBERP;D;20180525;0;196.03;4032100
SBERP;D;20180528;0;197;2012600
SBERP;D;20180529;0;193.8;4825900
SBERP;D;20180530;0;195.5;4025100
