date,avg_salary,avg_pension,avg_sum_consumer_loan,n_consumer_loan,avg_card_spend
2015-01-15,19209,8831,192834,7173,7927
2015-02-15,25356,10451,201050,9291,7605
2015-03-15,24159,10284,200363,11937,8600
2015-04-15,27430,11135,198051,16139,8085
2015-05-15,24726,9496,189958,15415,8413
2015-06-15,27387,10361,192673,31861,8748
2015-07-15,27372,11083,186904,33176,9353
2015-08-15,24915,10922,187959,28462,9504
2015-09-15,23616,10828,188285,26006,8925
2015-10-15,24943,10991,208823,24933,9417
2015-11-15,25034,11817,210013,21447,9095
2015-12-15,37467,14597,226553,29313,10674
2016-01-15,19760,12354,228467,17777,9095
2016-02-15,26279,13750,222139,19513,9265
2016-03-15,25465,13735,213384,21528,9946
2016-04-15,28096,15393,214011,24806,9981
2016-05-15,25785,13219,208002,25534,10227
2016-06-15,29226,14207,206555,27827,10539
2016-07-15,27309,13329,205010,27061,10643
2016-08-15,26138,13794,223056,28812,11399
2016-09-15,25292,14475,221082,26139,10607
2016-10-15,25034,13378,221716,24513,11316
2016-11-15,26843,13756,226501,23940,10737
2016-12-15,39630,15357,229171,29507,12523
2017-01-15,20626,17031,241056,20774,10813
2017-02-15,27635,14121,239265,21700,10407
2017-03-15,27086,15096,236511,28592,11680
2017-04-15,27848,14392,246878,25185,11085
2017-05-15,27844,14211,242408,26841,12327
2017-06-15,31040,14233,246682,30763,12064
2017-07-15,29119,13822,236778,28586,12842
2017-08-15,27730,14300,234204,32337,12871
2017-09-15,26935,14284,237723,27879,12388
2017-10-15,27878,14301,242596,29846,13137
2017-11-15,29497,14336,257624,29490,12580
2017-12-15,42513,15829,273425,35132,13980
2018-01-15,23471,13514,282799,27574,12758
2018-02-15,31087,14697,264228,30905,11625
2018-03-15,29799,15006,273531,36301,12623
2018-04-15,30914,16360,264199,39089,12394
2018-05-15,26519,14180,278559,38671,13000
2018-06-15,32646,15512,281384,40716,13018
2018-07-15,31752,14001,270678,43759,13379
2018-08-15,30510,16394,265480,47239,13591
2018-09-15,28198,13913,276464,38510,12417
2018-10-15,30497,15621,253917,22744,13659
2018-11-15,31997,14512,267568,13153,13012
2018-12-15,44268,25044,263665,21597,14747
2019-01-15,25674,12607,280265,11676,12280
