DATE;OPEN;HIGH;LOW;CLOSE;VOL
20210201;5417.5000000;5426.0000000;5296.5000000;5406.0000000;2110804
20210202;5426.0000000;5577.0000000;5407.5000000;5516.0000000;2448824
20210203;5554.0000000;5642.0000000;5491.5000000;5555.0000000;1796746
20210204;5565.5000000;5728.5000000;5529.0000000;5699.5000000;2269932
20210205;5740.5000000;5770.5000000;5644.0000000;5715.0000000;1125316
20210208;5750.0000000;5797.5000000;5698.0000000;5758.0000000;963438
20210209;5780.5000000;5796.0000000;5654.0000000;5695.0000000;1049377
20210210;5700.0000000;5712.5000000;5560.0000000;5594.5000000;1340726
20210211;5581.0000000;5690.0000000;5546.0000000;5641.5000000;705902
20210212;5624.5000000;5756.5000000;5501.0000000;5756.0000000;1264596
20210215;5820.0000000;5910.0000000;5772.0000000;5909.5000000;1137579
20210216;5918.0000000;5930.0000000;5805.5000000;5868.5000000;931974
20210217;5860.5000000;5876.5000000;5682.0000000;5768.5000000;1282901
20210218;5761.5000000;5784.0000000;5588.5000000;5615.0000000;1261967
20210219;5580.0000000;5697.0000000;5561.0000000;5656.0000000;1241815
20210220;5657.0000000;5659.0000000;5602.5000000;5633.0000000;122313
20210222;5651.0000000;5797.0000000;5592.0000000;5786.0000000;1191686
20210224;5751.0000000;5791.0000000;5676.5000000;5788.5000000;1136455
20210225;5804.5000000;5888.0000000;5731.0000000;5740.5000000;1649316
20210226;5707.0000000;5794.5000000;5545.0000000;5575.5000000;2505092
20210301;5623.0000000;5660.0000000;5590.5000000;5634.0000000;1039122
20210302;5609.5000000;5676.0000000;5592.0000000;5648.5000000;769865
20210303;5684.0000000;5747.5000000;5631.5000000;5701.0000000;887997
20210304;5715.0000000;5955.0000000;5690.0000000;5806.0000000;1943650
20210305;5856.0000000;6245.0000000;5852.0000000;6236.0000000;3837382
20210309;6198.0000000;6405.0000000;6167.0000000;6305.0000000;1974435
20210310;6277.0000000;6300.5000000;6084.0000000;6127.5000000;1642730
20210311;6152.5000000;6339.0000000;6109.5000000;6339.0000000;1523644
20210312;6313.5000000;6377.0000000;6267.0000000;6356.0000000;947594
20210315;6382.0000000;6480.0000000;6360.0000000;6472.5000000;1704229
